WHO Reference Number,"INN, Dosage Form and Strength",Product Type,Therapeutic Area,Applicant,Dosage Form,Basis of Listing,Basis of alternative listing,Date of Prequalification,Prequal_Date,Year
AP003,Caffeine citrate Solution for Infusion 60 mg/3 mL,Finished Pharmaceutical Product,Apnoea,Chiesi Farmaceutici S.p.A.,Solution for Infusion,Prequalification - Abridged,,"10  Jul,  2026",2026-07-10,2026.0
BT-CV001,Tocilizumab Concentrate for solution for infusion 20mg/ml (Each vial contains 80 mg of tocilizumab in 4 mL),Biotherapeutic Product,Covid-19,Roche Registration GmbH,Concentrate for solution for infusion,Prequalification - Abridged,,"10  Feb,  2022",2022-02-10,2022.0
BT-CV002,Tocilizumab Concentrate for solution for infusion 20mg/ml (Each vial contains 200 mg of tocilizumab in 10 mL),Biotherapeutic Product,Covid-19,Roche Registration GmbH,Concentrate for solution for infusion,Prequalification - Abridged,,"10  Feb,  2022",2022-02-10,2022.0
BT-CV003,Tocilizumab Concentrate for solution for infusion 20mg/ml (Each vial contains 400 mg of tocilizumab in 20 mL),Biotherapeutic Product,Covid-19,Roche Registration GmbH,Concentrate for solution for infusion,Prequalification - Abridged,,"10  Feb,  2022",2022-02-10,2022.0
BT-DM001,Insulin Human Solution for injection 100IU/ml,Biotherapeutic Product,Diabetes,Novo Nordisk AS,Solution for injection,Prequalification - Abridged,,"27  Sep,  2022",2022-09-27,2022.0
BT-DM002,Insulin Human Solution for injection 100IU/ml,Biotherapeutic Product,Diabetes,Novo Nordisk AS,Solution for injection,Prequalification - Abridged,,"27  Sep,  2022",2022-09-27,2022.0
BT-DM003,Insulin Human Suspension for injection 100IU/ml,Biotherapeutic Product,Diabetes,Novo Nordisk AS,Suspension for injection,Prequalification - Abridged,,"27  Sep,  2022",2022-09-27,2022.0
BT-DM004,Insulin Human Suspension for injection 100IU/ml,Biotherapeutic Product,Diabetes,Novo Nordisk AS,Suspension for injection,Prequalification - Abridged,,"27  Sep,  2022",2022-09-27,2022.0
BT-DM005,Insulin Glargine Solution for injection 100 U/mL,Biotherapeutic Product,Diabetes,Sanofi-Aventis Deutschland GmbH,Solution for injection,Prequalification - Abridged,,"5  May,  2023",2023-05-05,2023.0
BT-DM006,Insulin Glargine Solution for injection 100 U/mL,Biotherapeutic Product,Diabetes,Sanofi-Aventis Deutschland GmbH,Solution for injection,Prequalification - Abridged,,"5  May,  2023",2023-05-05,2023.0
BT-DX001,Mtb-specific antigen rCFP-10/Mtb-specific antigen rdESAT-6 Solution for injection 0.5 mcg per mL/0.5 mcg per mL,Biotherapeutic Product,TB skin tests,Serum Institute of India Pvt. Ltd.,Solution for injection,Prequalification - Abridged,,"23  Jul,  2025",2025-07-23,2025.0
BT-EB001,Atoltivimab/Maftivimab/Odesivimab Solution for Infusion 16.67 mg/mL/16.67 mg/mL/16.67 mg/mL,Biotherapeutic Product,Ebola Virus Disease,Regeneron Pharmaceuticals Inc.,Solution for Infusion,Prequalification - Abridged,,"16  Nov,  2023",2023-11-16,2023.0
BT-EB002,Atoltivimab/Maftivimab/Odesivimab Solution for Infusion 33.33mg/mL/33.33mg/mL/33.33mg/mL,Biotherapeutic Product,Ebola Virus Disease,Regeneron Pharmaceuticals Inc.,Solution for Infusion,Prequalification - Abridged,,"16  Nov,  2023",2023-11-16,2023.0
BT-ON001,Trastuzumab Powder for concentrate for solution for infusion 150 mg,Biotherapeutic Product,Oncology,Samsung Bioepis NL B.V.,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"18  Dec,  2019",2019-12-18,2019.0
BT-ON002,Trastuzumab Powder for concentrate for solution for infusion 150mg,Biotherapeutic Product,Oncology,Celltrion Inc.,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"14  Jul,  2020",2020-07-14,2020.0
BT-ON003,Trastuzumab Powder for concentrate for solution for infusion 420mg,Biotherapeutic Product,Oncology,Celltrion Inc.,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"14  Jul,  2020",2020-07-14,2020.0
BT-ON004,Rituximab Concentrate for solution for infusion 100mg/10mL,Biotherapeutic Product,Oncology,Celltrion Inc.,Concentrate for solution for infusion,Prequalification - Abridged,,"25  May,  2020",2020-05-25,2020.0
BT-ON005,Rituximab Concentrate for solution for infusion 500mg/50mL,Biotherapeutic Product,Oncology,Celltrion Inc.,Concentrate for solution for infusion,Prequalification - Abridged,,"25  May,  2020",2020-05-25,2020.0
BT-ON006,Rituximab Concentrate for solution for infusion 100mg/10mL,Biotherapeutic Product,Oncology,Sandoz GmbH,Concentrate for solution for infusion,Prequalification - Abridged,,"17  Sep,  2020",2020-09-17,2020.0
BT-ON007,Rituximab Concentrate for solution for infusion 500mg/50mL,Biotherapeutic Product,Oncology,Sandoz GmbH,Concentrate for solution for infusion,Prequalification - Abridged,,"17  Sep,  2020",2020-09-17,2020.0
BT-ON008,Trastuzumab Powder for concentrate for solution for infusion 150mg,Biotherapeutic Product,Oncology,Biosimilar Collaborations Ireland Limited,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"11  Jun,  2020",2020-06-11,2020.0
BT-ON009,Trastuzumab Powder for concentrate for solution for infusion 150mg,Biotherapeutic Product,Oncology,Roche Products Limited,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"31  Jul,  2020",2020-07-31,2020.0
BT-ON010,Water for Injection Solvent for parenteral use + Trastuzumab Powder for concentrate for solution for infusion 1.1% benzyl alcohol + 440mg,Biotherapeutic Product,Oncology,Roche Products Limited,Solvent for parenteral use + Powder for concentrate for solution for infusion,Prequalification - Abridged,,"31  Jul,  2020",2020-07-31,2020.0
BT-ON011,Rituximab Concentrate for solution for infusion 100mg/10ml,Biotherapeutic Product,Oncology,Roche Products Limited,Concentrate for solution for infusion,Prequalification - Abridged,,"31  Jul,  2020",2020-07-31,2020.0
BT-ON012,Rituximab Concentrate for solution for infusion 500mg/50mL,Biotherapeutic Product,Oncology,Roche Products Limited,Concentrate for solution for infusion,Prequalification - Abridged,,"31  Jul,  2020",2020-07-31,2020.0
BT-ON013,Trastuzumab Powder for concentrate for solution for infusion 150mg,Biotherapeutic Product,Oncology,Biocon Biologics Limited,Powder for concentrate for solution for infusion,Prequalification - Full,,"23  Feb,  2021",2021-02-23,2021.0
BT-ON014,Trastuzumab Powder for concentrate for solution for infusion 420mg,Biotherapeutic Product,Oncology,Biocon Biologics Limited,Powder for concentrate for solution for infusion,Prequalification - Full,,"23  Feb,  2021",2021-02-23,2021.0
BT-ON016,Trastuzumab Powder for concentrate for solution for infusion 420mg,Biotherapeutic Product,Oncology,Biosimilar Collaborations Ireland Limited,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"21  Dec,  2020",2020-12-21,2020.0
BT-ON017,Benzyl alcohol/Water for Injection Solvent for parenteral use+Trastuzumab Powder for concentrate for solution for infusion   1.1%/20mL+440mg,Biotherapeutic Product,Oncology,Biosimilar Collaborations Ireland Limited,Powder for concentrate for solution for infusion + Solvent for parenteral use,Prequalification - Abridged,,"3  May,  2022",2022-05-03,2022.0
BT-ON018,Rituximab concentrate for solution for infusion 100mg/10mL,Biotherapeutic Product,Oncology,Dr Reddy's Laboratories Ltd,concentrate for solution for infusion,Prequalification - Abridged,,"9  Sep,  2025",2025-09-09,2025.0
BT-ON019,Rituximab Concentrate for solution for infusion 500mg/50ml,Biotherapeutic Product,Oncology,Dr Reddy's Laboratories Ltd,Concentrate for solution for infusion,Prequalification - Abridged,,"9  Sep,  2025",2025-09-09,2025.0
CV001,Remdesivir Lyophilised powder for solution for injection 100mg,Finished Pharmaceutical Product,Covid-19,Hetero Labs Ltd,Lyophilised powder for solution for injection,Prequalification - Full,,"14  May,  2025",2025-05-14,2025.0
CV004,Dexamethasone (sodium phosphate) Solution for injection 4mg/ml,Finished Pharmaceutical Product,Covid-19,Farmak JSC,Solution for injection,Prequalification - Full,,"5  Nov,  2020",2020-11-05,2020.0
CV005,Dexamethasone (sodium phosphate) Solution for injection 4mg/ml (1ml),Finished Pharmaceutical Product,Covid-19,Demo SA,Solution for injection,Prequalification - Abridged,,"17  Dec,  2021",2021-12-17,2021.0
CV006,Dexamethasone (sodium phosphate) Solution for injection 4mg/ml (2ml),Finished Pharmaceutical Product,Covid-19,Demo SA,Solution for injection,Prequalification - Abridged,,"29  Sep,  2021",2021-09-29,2021.0
CV007,"Nirmatrelvir Tablet, Film-coated + Ritonavir Tablet, Film-coated 150mg + 100mg",Finished Pharmaceutical Product,Covid-19,Pfizer Limited,"Tablet, Film-coated + Tablet, Film-coated",Prequalification - Abridged,,"22  Apr,  2022",2022-04-22,2022.0
CV008,"Molnupiravir Capsules, hard 200 mg",Finished Pharmaceutical Product,Covid-19,Hetero Labs Ltd,"Capsules, hard",Prequalification - Full,,"21  Sep,  2022",2022-09-21,2022.0
CV009,"Molnupiravir Capsules, hard 200 mg",Finished Pharmaceutical Product,Covid-19,Dr Reddy's Laboratories Ltd,"Capsules, hard",Prequalification - Full,,"17  Apr,  2023",2023-04-17,2023.0
CV010,"Molnupiravir Capsules, hard 200 mg",Finished Pharmaceutical Product,Covid-19,Emcure Pharmaceuticals Limited,"Capsules, hard",Prequalification - Full,,"26  Dec,  2022",2022-12-26,2022.0
CV011,Remdesivir Powder for concentrate for solution for infusion 100 mg,Finished Pharmaceutical Product,Covid-19,Gilead Sciences Ireland UC,Powder for concentrate for solution for infusion,Prequalification - Abridged,,"25  Apr,  2022",2022-04-25,2022.0
CV016,"Nirmatrelvir Tablet, Film-coated + Ritonavir Tablet, Film-coated 150mg + 100mg",Finished Pharmaceutical Product,Covid-19,Zhejiang Huahai Pharmaceutical Co. Ltd.,"Tablet, Film-coated + Tablet, Film-coated",Prequalification - Full,,"18  Dec,  2023",2023-12-18,2023.0
CV017,"Nirmatrelvir Tablet, Film-coated + Ritonavir Tablet, Film-coated 150mg + 100mg",Finished Pharmaceutical Product,Covid-19,Celltrion Inc.,"Tablet, Film-coated + Tablet, Film-coated",Prequalification - Full,,"10  Oct,  2023",2023-10-10,2023.0
CV019,"Molnupiravir Capsules, hard 200mg",Finished Pharmaceutical Product,Covid-19,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Capsules, hard",Prequalification - Full,,"15  Jul,  2024",2024-07-15,2024.0
CV021,"Molnupiravir Capsules, hard 200mg",Finished Pharmaceutical Product,Covid-19,Cipla Ltd,"Capsules, hard",Prequalification - Full,,"18  Dec,  2023",2023-12-18,2023.0
CV022,"Molnupiravir Capsules, hard 200mg",Finished Pharmaceutical Product,Covid-19,Mylan Laboratories Ltd.,"Capsules, hard",Prequalification - Full,,"23  May,  2024",2024-05-23,2024.0
CV023,"Molnupiravir Capsules, hard 200mg",Finished Pharmaceutical Product,Covid-19,Guilin Pharmaceutical Co Ltd,"Capsules, hard",Prequalification - Full,,"15  Jul,  2024",2024-07-15,2024.0
CV024,"Nirmatrelvir Tablet, Film-coated + Ritonavir Tablet, Film-coated 150mg + 100mg",Finished Pharmaceutical Product,Covid-19,Mylan Laboratories Ltd.,"Tablet, Film-coated + Tablet, Film-coated",Prequalification - Full,,"19  Dec,  2024",2024-12-19,2024.0
CV026,"Nirmatrelvir Tablet, Film-coated + Ritonavir Tablet, Film-coated 150mg + 100mg",Finished Pharmaceutical Product,Covid-19,"Shanghai Desano Bio-Pharmaceutical Co., Ltd.","Tablet, Film-coated + Tablet, Film-coated",Prequalification - Full,,"27  Sep,  2024",2024-09-27,2024.0
DI005,"Zinc (sulfate) Tablet, Dispersible 20mg",Finished Pharmaceutical Product,Diarrhoea,Macleods Pharmaceuticals Ltd,"Tablet, Dispersible",Prequalification - Full,,"7  Dec,  2016",2016-12-07,2016.0
DI009,"Zinc (sulfate) Tablet, Dispersible 20mg",Finished Pharmaceutical Product,Diarrhoea,PharmEvo (Pvt) Ltd.,"Tablet, Dispersible",Prequalification - Full,,"12  Jul,  2023",2023-07-12,2023.0
DI010,Zinc (sulfate) Syrup 10mg/5ml,Finished Pharmaceutical Product,Diarrhoea,PharmEvo (Pvt) Ltd.,Syrup,Prequalification - Full,,"12  Jul,  2023",2023-07-12,2023.0
DI011,"Zinc (sulfate) Tablet, Dispersible 20mg",Finished Pharmaceutical Product,Diarrhoea,Ipca Laboratories Ltd,"Tablet, Dispersible",Prequalification - Full,,"25  May,  2020",2020-05-25,2020.0
DI013,"Zinc (sulfate) Tablet, Dispersible 20mg",Finished Pharmaceutical Product,Diarrhoea,The ACME Laboratories Ltd,"Tablet, Dispersible",Prequalification - Full,,"2  Nov,  2021",2021-11-02,2021.0
DI014,"Zinc (sulfate) Tablet, Dispersible 20mg",Finished Pharmaceutical Product,Diarrhoea,Swiss Pharma Nigeria Ltd,"Tablet, Dispersible",Prequalification - Full,,"2  May,  2023",2023-05-02,2023.0
EMA Art 58 H-W-002168,Dapivirine Vaginal ring 25mg,Finished Pharmaceutical Product,HIV/AIDS,International Partnership for Microbicides Belgium (IPM Belgium) AISBL,Vaginal ring,Alternative Listing,EMA Article 58,,,
EMA Art 58 H-W-002320,Fexinidazole Tablet 600mg,Finished Pharmaceutical Product,Neglected tropical diseases,Sanofi-aventis groupe,Tablet,Alternative Listing,EMA Article 58,,,
EMA Art 58 H-W-2319-2,"Artesunate/Pyronaridine (phosphate) Tablet, Film-coated 60mg/180mg",Finished Pharmaceutical Product,Malaria,Shin Poong Pharmaceutical Co Ltd,"Tablet, Film-coated",Alternative Listing,EMA Article 58,,,
EMA Art 58 H-W-2319-3,Artesunate/Pyronaridine (phosphate) Granules for Oral suspension 20mg/60mg,Finished Pharmaceutical Product,Malaria,Shin Poong Pharmaceutical Co Ltd,Granules for Oral suspension,Alternative Listing,EMA Article 58,,,
EMA Art 58 H-W-4252-1,"Arpraziquantel Tablet, Dispersible 150mg",Finished Pharmaceutical Product,Neglected tropical diseases,Merck Europe B.V.,"Tablet, Dispersible",Alternative Listing,EMA Article 58,,,
EMA Art 58 H-W-764-1,"Lopinavir/Ritonavir Tablet, Film-coated 200mg/50mg",Finished Pharmaceutical Product,HIV/AIDS,AbbVie Deutschland GmbH and Co. KG,"Tablet, Film-coated",Alternative Listing,EMA Article 58,,,
EMA Art 58 H-W-764-2,"Lopinavir/Ritonavir Tablet, Film-coated 100mg/25mg",Finished Pharmaceutical Product,HIV/AIDS,AbbVie Deutschland GmbH and Co. KG,"Tablet, Film-coated",Alternative Listing,EMA Article 58,,,
HA060,"Lamivudine/Zidovudine Tablet, Film-coated 150mg/300mg",Finished Pharmaceutical Product,HIV/AIDS,Cipla Ltd,"Tablet, Film-coated",Prequalification - Full,,"30  Nov,  2004",2004-11-30,2004.0
HA098,"Lopinavir/Ritonavir Solution, Oral 80mg/mL/20mg/mL",Finished Pharmaceutical Product,HIV/AIDS,AbbVie Deutschland GmbH and Co. KG,"Solution, Oral",Prequalification - Abridged,,"20  Mar,  2002",2002-03-20,2002.0
